#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    43   0.124527E+04   0.137440E+01   0.984148E-03   0.137440E+01   0.695107E-01  -0.140152E-06   0.984148E-03  -0.140152E-06   0.129737E-06
    44   0.126361E+04   0.127549E+01   0.962713E-03   0.127549E+01   0.750176E-01  -0.967292E-07   0.962713E-03  -0.967292E-07   0.129312E-06
    45   0.128232E+04   0.116234E+01   0.942068E-03   0.116234E+01   0.807725E-01  -0.981986E-07   0.942068E-03  -0.981986E-07   0.128861E-06
    46   0.130131E+04   0.103183E+01   0.922262E-03   0.103183E+01   0.867719E-01  -0.154931E-06   0.922262E-03  -0.154931E-06   0.128388E-06
    47   0.132045E+04   0.885754E+00   0.903191E-03   0.885754E+00   0.930183E-01  -0.253269E-06   0.903191E-03  -0.253269E-06   0.127895E-06
    48   0.133966E+04   0.729773E+00   0.884711E-03   0.729773E+00   0.995229E-01  -0.373547E-06   0.884711E-03  -0.373547E-06   0.127382E-06
    49   0.135905E+04   0.568968E+00   0.866680E-03   0.568968E+00   0.106274E+00  -0.496098E-06   0.866680E-03  -0.496098E-06   0.126851E-06
    50   0.137882E+04   0.401634E+00   0.848954E-03   0.401634E+00   0.113254E+00  -0.601258E-06   0.848954E-03  -0.601258E-06   0.126305E-06
    51   0.139878E+04   0.224238E+00   0.831441E-03   0.224238E+00   0.120439E+00  -0.673621E-06   0.831441E-03  -0.673621E-06   0.125743E-06
    52   0.141912E+04   0.315505E-01   0.814251E-03   0.315505E-01   0.127909E+00  -0.714823E-06   0.814251E-03  -0.714823E-06   0.125168E-06
    53   0.143948E+04  -0.180226E+00   0.797546E-03  -0.180226E+00   0.135810E+00  -0.730763E-06   0.797546E-03  -0.730763E-06   0.124581E-06
    54   0.145977E+04  -0.406923E+00   0.781487E-03  -0.406923E+00   0.144129E+00  -0.727336E-06   0.781487E-03  -0.727336E-06   0.123982E-06
    55   0.148019E+04  -0.644256E+00   0.766235E-03  -0.644256E+00   0.152838E+00  -0.710440E-06   0.766235E-03  -0.710440E-06   0.123372E-06
    56   0.150097E+04  -0.894024E+00   0.751898E-03  -0.894024E+00   0.161791E+00  -0.685261E-06   0.751898E-03  -0.685261E-06   0.122752E-06
    57   0.152203E+04  -0.115605E+01   0.738370E-03  -0.115605E+01   0.170881E+00  -0.654147E-06   0.738370E-03  -0.654147E-06   0.122123E-06
    58   0.154339E+04  -0.143091E+01   0.725489E-03  -0.143091E+01   0.180120E+00  -0.618732E-06   0.725489E-03  -0.618732E-06   0.121485E-06
    59   0.156490E+04  -0.171919E+01   0.713096E-03  -0.171919E+01   0.189551E+00  -0.580653E-06   0.713096E-03  -0.580653E-06   0.120839E-06
    60   0.158658E+04  -0.202004E+01   0.701030E-03  -0.202004E+01   0.199228E+00  -0.541545E-06   0.701030E-03  -0.541545E-06   0.120185E-06
    61   0.160873E+04  -0.233251E+01   0.689154E-03  -0.233251E+01   0.209249E+00  -0.503105E-06   0.689154E-03  -0.503105E-06   0.119524E-06
    62   0.163076E+04  -0.265756E+01   0.677422E-03  -0.265756E+01   0.219598E+00  -0.467275E-06   0.677422E-03  -0.467275E-06   0.118858E-06
    63   0.165289E+04  -0.299630E+01   0.665813E-03  -0.299630E+01   0.230232E+00  -0.436055E-06   0.665813E-03  -0.436055E-06   0.118186E-06
    64   0.167542E+04  -0.335002E+01   0.654305E-03  -0.335002E+01   0.241162E+00  -0.411448E-06   0.654305E-03  -0.411448E-06   0.117509E-06
    65   0.169798E+04  -0.371944E+01   0.642875E-03  -0.371944E+01   0.252360E+00  -0.395456E-06   0.642875E-03  -0.395456E-06   0.116830E-06
    66   0.172088E+04  -0.410275E+01   0.631522E-03  -0.410275E+01   0.263756E+00  -0.389953E-06   0.631522E-03  -0.389953E-06   0.116147E-06
    67   0.174393E+04  -0.449712E+01   0.620327E-03  -0.449712E+01   0.275353E+00  -0.396301E-06   0.620327E-03  -0.396301E-06   0.115463E-06
    68   0.176742E+04  -0.490075E+01   0.609395E-03  -0.490075E+01   0.287192E+00  -0.415736E-06   0.609395E-03  -0.415736E-06   0.114778E-06
    69   0.179108E+04  -0.531176E+01   0.598827E-03  -0.531176E+01   0.299232E+00  -0.449494E-06   0.598827E-03  -0.449494E-06   0.114091E-06
    70   0.181505E+04  -0.573172E+01   0.588727E-03  -0.573172E+01   0.311516E+00  -0.498810E-06   0.588727E-03  -0.498810E-06   0.113403E-06
    71   0.183916E+04  -0.616291E+01   0.579167E-03  -0.616291E+01   0.324032E+00  -0.562834E-06   0.579167E-03  -0.562834E-06   0.112715E-06
    72   0.186345E+04  -0.660678E+01   0.570100E-03  -0.660678E+01   0.336755E+00  -0.632379E-06   0.570100E-03  -0.632379E-06   0.112027E-06
    73   0.188788E+04  -0.706401E+01   0.561446E-03  -0.706401E+01   0.349650E+00  -0.696173E-06   0.561446E-03  -0.696173E-06   0.111339E-06
    74   0.191251E+04  -0.753381E+01   0.553128E-03  -0.753381E+01   0.362706E+00  -0.742942E-06   0.553128E-03  -0.742942E-06   0.110650E-06
    75   0.193746E+04  -0.801482E+01   0.545067E-03  -0.801482E+01   0.375933E+00  -0.761415E-06   0.545067E-03  -0.761415E-06   0.109961E-06
    76   0.196268E+04  -0.850647E+01   0.537193E-03  -0.850647E+01   0.389333E+00  -0.744302E-06   0.537193E-03  -0.744302E-06   0.109272E-06
    77   0.198823E+04  -0.900857E+01   0.529463E-03  -0.900857E+01   0.402896E+00  -0.700241E-06   0.529463E-03  -0.700241E-06   0.108583E-06
    78   0.201414E+04  -0.952253E+01   0.521844E-03  -0.952253E+01   0.416649E+00  -0.641854E-06   0.521844E-03  -0.641854E-06   0.107894E-06
    79   0.204022E+04  -0.100445E+02   0.514301E-03  -0.100445E+02   0.430536E+00  -0.581763E-06   0.514301E-03  -0.581763E-06   0.107207E-06
    80   0.206659E+04  -0.105759E+02   0.506800E-03  -0.105759E+02   0.444561E+00  -0.532588E-06   0.506800E-03  -0.532588E-06   0.106520E-06
    81   0.209313E+04  -0.111172E+02   0.499320E-03  -0.111172E+02   0.458675E+00  -0.504489E-06   0.499320E-03  -0.504489E-06   0.105836E-06
    82   0.211992E+04  -0.116674E+02   0.491890E-03  -0.116674E+02   0.472898E+00  -0.497771E-06   0.491890E-03  -0.497771E-06   0.105153E-06
    83   0.214690E+04  -0.122260E+02   0.484556E-03  -0.122260E+02   0.487205E+00  -0.510276E-06   0.484556E-03  -0.510276E-06   0.104473E-06
    84   0.217413E+04  -0.127910E+02   0.477359E-03  -0.127910E+02   0.501595E+00  -0.539847E-06   0.477359E-03  -0.539847E-06   0.103795E-06
    85   0.220149E+04  -0.133636E+02   0.470344E-03  -0.133636E+02   0.516040E+00  -0.584326E-06   0.470344E-03  -0.584326E-06   0.103119E-06
    86   0.222905E+04  -0.139426E+02   0.463545E-03  -0.139426E+02   0.530555E+00  -0.641053E-06   0.463545E-03  -0.641053E-06   0.102447E-06
    87   0.225703E+04  -0.145273E+02   0.456955E-03  -0.145273E+02   0.545108E+00  -0.705351E-06   0.456955E-03  -0.705351E-06   0.101777E-06
    88   0.228499E+04  -0.151177E+02   0.450560E-03  -0.151177E+02   0.559715E+00  -0.772039E-06   0.450560E-03  -0.772039E-06   0.101111E-06
