#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.994668E-05   0.202952E+08   0.202952E+08   0.270461E+08   0.270457E+08   0.202975E+08   0.202952E+08   0.202952E+08   0.203024E+08  -0.458531E+00   0.992975E+07   0.992975E+07   0.636435E+01
   0.109829E-04   0.202952E+08   0.202952E+08   0.270430E+08   0.270425E+08   0.202975E+08   0.202952E+08   0.202952E+08   0.203024E+08  -0.458531E+00   0.992976E+07   0.992976E+07   0.702718E+01
   0.121271E-04   0.202952E+08   0.202952E+08   0.270392E+08   0.270386E+08   0.202975E+08   0.202952E+08   0.202952E+08   0.203024E+08  -0.458531E+00   0.992976E+07   0.992976E+07   0.775899E+01
   0.133905E-04   0.202952E+08   0.202952E+08   0.270346E+08   0.270338E+08   0.202975E+08   0.202952E+08   0.202952E+08   0.203024E+08  -0.458531E+00   0.992976E+07   0.992976E+07   0.856694E+01
   0.147856E-04   0.202952E+08   0.202952E+08   0.270290E+08   0.270281E+08   0.202975E+08   0.202952E+08   0.202952E+08   0.203024E+08  -0.458531E+00   0.992976E+07   0.992976E+07   0.945893E+01
   0.163259E-04   0.202952E+08   0.202952E+08   0.270222E+08   0.270210E+08   0.202975E+08   0.202952E+08   0.202952E+08   0.203024E+08  -0.458531E+00   0.992976E+07   0.992976E+07   0.104437E+02
   0.180268E-04   0.202952E+08   0.202952E+08   0.270138E+08   0.270124E+08   0.202975E+08   0.202952E+08   0.202952E+08   0.203024E+08  -0.458531E+00   0.992976E+07   0.992976E+07   0.115308E+02
   0.199048E-04   0.202952E+08   0.202952E+08   0.270036E+08   0.270019E+08   0.202974E+08   0.202952E+08   0.202952E+08   0.203024E+08  -0.458530E+00   0.992976E+07   0.992976E+07   0.127308E+02
   0.219785E-04   0.202952E+08   0.202952E+08   0.269912E+08   0.269892E+08   0.202974E+08   0.202952E+08   0.202952E+08   0.203024E+08  -0.458530E+00   0.992976E+07   0.992976E+07   0.140554E+02
   0.242682E-04   0.202952E+08   0.202952E+08   0.269761E+08   0.269736E+08   0.202973E+08   0.202952E+08   0.202952E+08   0.203024E+08  -0.458530E+00   0.992975E+07   0.992975E+07   0.155174E+02
   0.267965E-04   0.202952E+08   0.202952E+08   0.269577E+08   0.269546E+08   0.202973E+08   0.202952E+08   0.202952E+08   0.203024E+08  -0.458529E+00   0.992975E+07   0.992975E+07   0.171309E+02
