#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    63   0.165289E+04  -0.299630E+01   0.667005E-03  -0.299630E+01   0.230232E+00  -0.435968E-06   0.667005E-03  -0.435968E-06   0.118708E-06
    64   0.167542E+04  -0.335002E+01   0.655489E-03  -0.335002E+01   0.241162E+00  -0.411351E-06   0.655489E-03  -0.411351E-06   0.118035E-06
    65   0.169798E+04  -0.371944E+01   0.644052E-03  -0.371944E+01   0.252360E+00  -0.395349E-06   0.644052E-03  -0.395349E-06   0.117359E-06
    66   0.172088E+04  -0.410275E+01   0.632691E-03  -0.410275E+01   0.263756E+00  -0.389840E-06   0.632691E-03  -0.389840E-06   0.116680E-06
    67   0.174393E+04  -0.449712E+01   0.621490E-03  -0.449712E+01   0.275353E+00  -0.396185E-06   0.621490E-03  -0.396185E-06   0.115999E-06
    68   0.176742E+04  -0.490075E+01   0.610550E-03  -0.490075E+01   0.287192E+00  -0.415619E-06   0.610550E-03  -0.415619E-06   0.115317E-06
    69   0.179108E+04  -0.531176E+01   0.599975E-03  -0.531176E+01   0.299232E+00  -0.449378E-06   0.599975E-03  -0.449378E-06   0.114633E-06
    70   0.181505E+04  -0.573172E+01   0.589868E-03  -0.573172E+01   0.311516E+00  -0.498697E-06   0.589868E-03  -0.498697E-06   0.113948E-06
    71   0.183916E+04  -0.616291E+01   0.580301E-03  -0.616291E+01   0.324032E+00  -0.562725E-06   0.580301E-03  -0.562725E-06   0.113263E-06
    72   0.186345E+04  -0.660678E+01   0.571226E-03  -0.660678E+01   0.336755E+00  -0.632275E-06   0.571226E-03  -0.632275E-06   0.112578E-06
    73   0.188788E+04  -0.706401E+01   0.562565E-03  -0.706401E+01   0.349650E+00  -0.696074E-06   0.562565E-03  -0.696074E-06   0.111892E-06
    74   0.191251E+04  -0.753381E+01   0.554239E-03  -0.753381E+01   0.362706E+00  -0.742848E-06   0.554239E-03  -0.742848E-06   0.111206E-06
    75   0.193746E+04  -0.801482E+01   0.546171E-03  -0.801482E+01   0.375933E+00  -0.761325E-06   0.546171E-03  -0.761325E-06   0.110520E-06
    76   0.196268E+04  -0.850647E+01   0.538290E-03  -0.850647E+01   0.389333E+00  -0.744214E-06   0.538290E-03  -0.744214E-06   0.109833E-06
    77   0.198823E+04  -0.900857E+01   0.530553E-03  -0.900857E+01   0.402896E+00  -0.700154E-06   0.530553E-03  -0.700154E-06   0.109147E-06
    78   0.201414E+04  -0.952253E+01   0.522927E-03  -0.952253E+01   0.416649E+00  -0.641768E-06   0.522927E-03  -0.641768E-06   0.108461E-06
    79   0.204022E+04  -0.100445E+02   0.515376E-03  -0.100445E+02   0.430536E+00  -0.581677E-06   0.515376E-03  -0.581677E-06   0.107775E-06
    80   0.206659E+04  -0.105759E+02   0.507868E-03  -0.105759E+02   0.444561E+00  -0.532504E-06   0.507868E-03  -0.532504E-06   0.107091E-06
    81   0.209313E+04  -0.111172E+02   0.500380E-03  -0.111172E+02   0.458675E+00  -0.504406E-06   0.500380E-03  -0.504406E-06   0.106409E-06
    82   0.211992E+04  -0.116674E+02   0.492944E-03  -0.116674E+02   0.472898E+00  -0.497690E-06   0.492944E-03  -0.497690E-06   0.105728E-06
    83   0.214690E+04  -0.122260E+02   0.485602E-03  -0.122260E+02   0.487205E+00  -0.510198E-06   0.485602E-03  -0.510198E-06   0.105050E-06
    84   0.217413E+04  -0.127910E+02   0.478398E-03  -0.127910E+02   0.501595E+00  -0.539772E-06   0.478398E-03  -0.539772E-06   0.104374E-06
    85   0.220149E+04  -0.133636E+02   0.471377E-03  -0.133636E+02   0.516040E+00  -0.584254E-06   0.471377E-03  -0.584254E-06   0.103700E-06
    86   0.222905E+04  -0.139426E+02   0.464570E-03  -0.139426E+02   0.530555E+00  -0.640984E-06   0.464570E-03  -0.640984E-06   0.103030E-06
    87   0.225703E+04  -0.145273E+02   0.457974E-03  -0.145273E+02   0.545108E+00  -0.705284E-06   0.457974E-03  -0.705284E-06   0.102362E-06
    88   0.228499E+04  -0.151177E+02   0.451571E-03  -0.151177E+02   0.559715E+00  -0.771973E-06   0.451571E-03  -0.771973E-06   0.101697E-06
    89   0.231330E+04  -0.157156E+02   0.445348E-03  -0.157156E+02   0.574361E+00  -0.835872E-06   0.445348E-03  -0.835872E-06   0.101036E-06
    90   0.234182E+04  -0.163179E+02   0.439287E-03  -0.163179E+02   0.589008E+00  -0.891799E-06   0.439287E-03  -0.891799E-06   0.100378E-06
    91   0.237048E+04  -0.169257E+02   0.433376E-03  -0.169257E+02   0.603651E+00  -0.935600E-06   0.433376E-03  -0.935600E-06   0.997228E-07
    92   0.239941E+04  -0.175381E+02   0.427608E-03  -0.175381E+02   0.618273E+00  -0.967216E-06   0.427608E-03  -0.967216E-06   0.990715E-07
    93   0.242863E+04  -0.181551E+02   0.421979E-03  -0.181551E+02   0.632869E+00  -0.987618E-06   0.421979E-03  -0.987618E-06   0.984237E-07
    94   0.245791E+04  -0.187755E+02   0.416483E-03  -0.187755E+02   0.647402E+00  -0.997773E-06   0.416483E-03  -0.997773E-06   0.977794E-07
    95   0.248748E+04  -0.193999E+02   0.411116E-03  -0.193999E+02   0.661873E+00  -0.998649E-06   0.411116E-03  -0.998649E-06   0.971387E-07
    96   0.251703E+04  -0.200275E+02   0.405873E-03  -0.200275E+02   0.676268E+00  -0.991215E-06   0.405873E-03  -0.991215E-06   0.965017E-07
