#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.994668E-05   0.125873E+08   0.125873E+08   0.167782E+08   0.167780E+08   0.125907E+08   0.125874E+08   0.125873E+08   0.125963E+08  -0.569019E+00   0.107761E+08   0.107761E+08   0.100537E+02
   0.109829E-04   0.125873E+08   0.125873E+08   0.167771E+08   0.167768E+08   0.125907E+08   0.125874E+08   0.125873E+08   0.125963E+08  -0.569019E+00   0.107761E+08   0.107761E+08   0.111008E+02
   0.121270E-04   0.125873E+08   0.125873E+08   0.167757E+08   0.167755E+08   0.125907E+08   0.125874E+08   0.125873E+08   0.125963E+08  -0.569019E+00   0.107761E+08   0.107761E+08   0.122569E+02
   0.133904E-04   0.125873E+08   0.125873E+08   0.167741E+08   0.167738E+08   0.125907E+08   0.125873E+08   0.125873E+08   0.125963E+08  -0.569019E+00   0.107761E+08   0.107761E+08   0.135333E+02
   0.147853E-04   0.125873E+08   0.125873E+08   0.167721E+08   0.167717E+08   0.125907E+08   0.125873E+08   0.125873E+08   0.125963E+08  -0.569018E+00   0.107761E+08   0.107761E+08   0.149425E+02
   0.163256E-04   0.125873E+08   0.125873E+08   0.167697E+08   0.167692E+08   0.125906E+08   0.125873E+08   0.125873E+08   0.125963E+08  -0.569018E+00   0.107761E+08   0.107761E+08   0.164984E+02
   0.180263E-04   0.125873E+08   0.125873E+08   0.167668E+08   0.167662E+08   0.125906E+08   0.125873E+08   0.125873E+08   0.125963E+08  -0.569017E+00   0.107761E+08   0.107761E+08   0.182160E+02
   0.199043E-04   0.125873E+08   0.125873E+08   0.167632E+08   0.167625E+08   0.125906E+08   0.125873E+08   0.125873E+08   0.125963E+08  -0.569017E+00   0.107761E+08   0.107761E+08   0.201122E+02
   0.219778E-04   0.125873E+08   0.125873E+08   0.167588E+08   0.167579E+08   0.125905E+08   0.125873E+08   0.125873E+08   0.125963E+08  -0.569016E+00   0.107761E+08   0.107761E+08   0.222054E+02
   0.242674E-04   0.125873E+08   0.125873E+08   0.167535E+08   0.167524E+08   0.125905E+08   0.125873E+08   0.125873E+08   0.125962E+08  -0.569015E+00   0.107761E+08   0.107761E+08   0.245160E+02
   0.267954E-04   0.125872E+08   0.125872E+08   0.167470E+08   0.167457E+08   0.125904E+08   0.125873E+08   0.125872E+08   0.125962E+08  -0.569014E+00   0.107760E+08   0.107760E+08   0.270664E+02
   0.295869E-04   0.125872E+08   0.125872E+08   0.167391E+08   0.167375E+08   0.125903E+08   0.125872E+08   0.125872E+08   0.125962E+08  -0.569012E+00   0.107760E+08   0.107760E+08   0.298813E+02
   0.326691E-04   0.125872E+08   0.125872E+08   0.167295E+08   0.167275E+08   0.125902E+08   0.125872E+08   0.125872E+08   0.125961E+08  -0.569011E+00   0.107760E+08   0.107760E+08   0.329877E+02
   0.360725E-04   0.125872E+08   0.125872E+08   0.167178E+08   0.167153E+08   0.125901E+08   0.125872E+08   0.125872E+08   0.125961E+08  -0.569009E+00   0.107760E+08   0.107760E+08   0.364155E+02
   0.398303E-04   0.125871E+08   0.125871E+08   0.167035E+08   0.167005E+08   0.125900E+08   0.125871E+08   0.125871E+08   0.125960E+08  -0.569006E+00   0.107759E+08   0.107759E+08   0.401973E+02
   0.439797E-04   0.125871E+08   0.125870E+08   0.166860E+08   0.166824E+08   0.125898E+08   0.125871E+08   0.125871E+08   0.125960E+08  -0.569003E+00   0.107759E+08   0.107759E+08   0.443691E+02
   0.485613E-04   0.125870E+08   0.125870E+08   0.166648E+08   0.166604E+08   0.125896E+08   0.125870E+08   0.125870E+08   0.125959E+08  -0.568999E+00   0.107758E+08   0.107758E+08   0.489700E+02
   0.536203E-04   0.125869E+08   0.125869E+08   0.166390E+08   0.166336E+08   0.125893E+08   0.125869E+08   0.125869E+08   0.125958E+08  -0.568995E+00   0.107758E+08   0.107757E+08   0.540429E+02
   0.592062E-04   0.125868E+08   0.125868E+08   0.166075E+08   0.166010E+08   0.125890E+08   0.125868E+08   0.125868E+08   0.125957E+08  -0.568989E+00   0.107757E+08   0.107757E+08   0.596343E+02
   0.653741E-04   0.125867E+08   0.125867E+08   0.165693E+08   0.165613E+08   0.125886E+08   0.125867E+08   0.125867E+08   0.125955E+08  -0.568982E+00   0.107756E+08   0.107755E+08   0.657950E+02
   0.721845E-04   0.125865E+08   0.125865E+08   0.165227E+08   0.165130E+08   0.125881E+08   0.125865E+08   0.125865E+08   0.125954E+08  -0.568974E+00   0.107754E+08   0.107754E+08   0.725796E+02
   0.797043E-04   0.125864E+08   0.125863E+08   0.164662E+08   0.164544E+08   0.125875E+08   0.125864E+08   0.125864E+08   0.125952E+08  -0.568964E+00   0.107753E+08   0.107753E+08   0.800470E+02
   0.880076E-04   0.125861E+08   0.125861E+08   0.163974E+08   0.163831E+08   0.125868E+08   0.125861E+08   0.125861E+08   0.125949E+08  -0.568951E+00   0.107751E+08   0.107751E+08   0.882600E+02
   0.971759E-04   0.125859E+08   0.125858E+08   0.163140E+08   0.162966E+08   0.125860E+08   0.125859E+08   0.125859E+08   0.125946E+08  -0.568936E+00   0.107749E+08   0.107748E+08   0.972855E+02
