#    L    TT             EE             TE             PP             TP          
    38   0.115467E+04   0.460043E-01   0.172396E+01   0.584081E+07   0.181547E+05
    39   0.117253E+04   0.501673E-01   0.166855E+01   0.583689E+07   0.177637E+05
    40   0.119051E+04   0.545870E-01   0.160564E+01   0.583098E+07   0.173873E+05
    41   0.120872E+04   0.592841E-01   0.153707E+01   0.582317E+07   0.170184E+05
    42   0.122692E+04   0.642600E-01   0.146094E+01   0.581360E+07   0.166567E+05
    43   0.124527E+04   0.695107E-01   0.137440E+01   0.580238E+07   0.163039E+05
    44   0.126361E+04   0.750176E-01   0.127549E+01   0.578964E+07   0.159616E+05
    45   0.128232E+04   0.807725E-01   0.116234E+01   0.577550E+07   0.156313E+05
    46   0.130131E+04   0.867719E-01   0.103183E+01   0.576006E+07   0.153139E+05
    47   0.132045E+04   0.930183E-01   0.885754E+00   0.574343E+07   0.150078E+05
    48   0.133966E+04   0.995229E-01   0.729773E+00   0.572568E+07   0.147106E+05
    49   0.135905E+04   0.106274E+00   0.568968E+00   0.570690E+07   0.144201E+05
    50   0.137882E+04   0.113254E+00   0.401634E+00   0.568716E+07   0.141340E+05
    51   0.139878E+04   0.120439E+00   0.224238E+00   0.566656E+07   0.138507E+05
    52   0.141912E+04   0.127909E+00   0.315505E-01   0.564514E+07   0.135722E+05
    53   0.143948E+04   0.135810E+00  -0.180226E+00   0.562295E+07   0.133012E+05
    54   0.145977E+04   0.144129E+00  -0.406923E+00   0.560005E+07   0.130404E+05
    55   0.148019E+04   0.152838E+00  -0.644256E+00   0.557649E+07   0.127925E+05
    56   0.150097E+04   0.161791E+00  -0.894024E+00   0.555232E+07   0.125595E+05
    57   0.152203E+04   0.170881E+00  -0.115605E+01   0.552757E+07   0.123395E+05
    58   0.154339E+04   0.180120E+00  -0.143091E+01   0.550227E+07   0.121299E+05
    59   0.156490E+04   0.189551E+00  -0.171919E+01   0.547646E+07   0.119280E+05
    60   0.158658E+04   0.199228E+00  -0.202004E+01   0.545016E+07   0.117313E+05
    61   0.160873E+04   0.209249E+00  -0.233251E+01   0.542342E+07   0.115374E+05
    62   0.163076E+04   0.219598E+00  -0.265756E+01   0.539626E+07   0.113457E+05
    63   0.165289E+04   0.230232E+00  -0.299630E+01   0.536875E+07   0.111557E+05
    64   0.167542E+04   0.241162E+00  -0.335002E+01   0.534093E+07   0.109671E+05
    65   0.169798E+04   0.252360E+00  -0.371944E+01   0.531284E+07   0.107796E+05
    66   0.172088E+04   0.263756E+00  -0.410275E+01   0.528454E+07   0.105931E+05
